id,lat,long,zipcode,season,sell_suggest,profit
1823069155,47.4845,-122.08,98027,Spring,578476.8,78883.20000000007
9828700900,47.6205,-122.294,98112,Spring,658800.0,120780.0
1446403305,47.4882,-122.325,98168,Spring,247200.0,45320.0
1777600230,47.5694,-122.132,98006,Spring,671000.0,91500.0
9477001280,47.7357,-122.193,98034,Spring,467500.00000000006,63750.00000000006
6146600185,47.3877,-122.234,98032,Spring,208000.0,48000.0
1900600040,47.4692,-122.35,98166,Spring,318000.0,58300.0
2522059112,47.3614,-122.119,98042,Spring,273350.0,37275.0
5450900140,47.5562,-122.22,98040,Spring,996000.0,182600.0
2652500070,47.6423,-122.361,98119,Spring,826800.0,190800.0
1254200075,47.6802,-122.388,98117,Spring,506000.00000000006,69000.00000000006
4427100025,47.7276,-122.312,98125,Spring,310500.0,48600.0
5393601050,47.5834,-122.307,98144,Spring,511749.99999999994,80099.99999999994
7942600975,47.6054,-122.314,98122,Spring,580750.0,90900.0
6822100155,47.6493,-122.401,98199,Spring,724500.0,113400.0
5347200160,47.5188,-122.376,98126,Spring,270250.0,42300.0
2968801240,47.4565,-122.35,98166,Spring,253200.0,46420.0
5111400086,47.4235,-122.051,98038,Spring,121000.00000000001,16500.000000000015
5482700100,47.5665,-122.229,98040,Spring,1051980.0,192863.0
4024101395,47.7596,-122.304,98155,Spring,407000.00000000006,55500.00000000006
8805400090,47.494,-122.165,98056,Spring,332350.0,52020.0
514500090,47.5877,-122.157,98005,Spring,715000.0,165000.0
418000310,47.4924,-122.175,98056,Spring,178250.0,27900.0
5458800125,47.5786,-122.236,98040,Spring,1110000.0,203500.0
8651441750,47.3636,-122.093,98042,Spring,192445.00000000003,26242.50000000003
2473400570,47.4528,-122.163,98058,Spring,348700.0,47550.0
1545801970,47.3594,-122.054,98038,Spring,275000.0,37500.0
7304300570,47.7416,-122.32,98155,Spring,403150.00000000006,54975.00000000006
2767600171,47.6757,-122.385,98107,Spring,528000.0,96800.0
9268200600,47.6959,-122.364,98117,Spring,454850.00000000006,62025.00000000006
1431700370,47.4599,-122.172,98058,Spring,319000.0,43500.0
2796100160,47.4081,-122.178,98031,Spring,300000.0,55000.0
1138000250,47.7141,-122.213,98034,Spring,385000.00000000006,52500.00000000006
3424069066,47.5172,-122.027,98027,Spring,436095.00000000006,59467.50000000006
2372800050,47.201,-121.999,98022,Spring,264000.0,48400.0
2623069031,47.4564,-122.004,98027,Spring,596750.0,81375.0
3797000035,47.6867,-122.345,98103,Spring,473000.00000000006,64500.00000000006
9407001340,47.4456,-121.773,98045,Spring,384000.0,70400.0
9407001320,47.4462,-121.773,98045,Spring,354000.0,64900.0
